device_id,ip_address,os
DEV5068,53.84.236.191,Windows
DEV5069,38.177.195.176,MacOS
DEV5070,218.141.192.107,MacOS
DEV5071,63.181.195.181,iOS
DEV5072,57.161.2.120,Android
DEV5073,160.150.79.187,MacOS
DEV5074,26.16.134.72,MacOS
DEV5075,120.237.104.77,iOS
DEV5076,195.157.224.16,MacOS
DEV5077,208.9.109.245,MacOS
DEV5078,157.145.5.63,iOS
DEV5079,44.1.90.52,Windows
DEV5080,15.249.211.230,Windows
DEV5081,131.77.155.127,MacOS
DEV5082,102.134.40.84,MacOS
DEV5083,222.5.12.8,Android
DEV5084,223.130.194.81,MacOS
DEV5085,79.80.166.79,Android
DEV5086,147.227.84.142,Windows
DEV5087,7.67.144.159,MacOS
DEV5088,71.66.242.111,MacOS
DEV5089,19.194.72.92,iOS
DEV5090,137.218.169.179,MacOS
DEV5091,25.86.238.13,Windows
DEV5092,12.95.242.200,MacOS
DEV5093,62.225.69.230,Android
DEV5094,192.111.153.73,MacOS
DEV5095,20.160.232.48,Android
DEV5096,40.188.141.124,iOS
DEV5097,216.215.4.203,MacOS
DEV5098,189.71.53.84,iOS
DEV5099,49.25.91.90,iOS
DEV5100,174.67.65.21,MacOS
DEV5101,191.171.34.56,Android
DEV5102,222.74.29.195,MacOS
DEV5103,6.194.208.87,Android
DEV5104,56.36.53.165,iOS
DEV5105,26.76.0.3,Windows
DEV5106,215.164.75.134,MacOS
DEV5107,142.242.175.225,Windows
DEV5108,221.37.17.210,Android
DEV5109,94.69.62.42,MacOS
DEV5110,152.102.23.85,Windows
DEV5111,41.188.23.243,Windows
DEV5112,17.47.67.194,MacOS
DEV5113,85.63.102.180,Windows
DEV5114,222.22.253.13,MacOS
DEV5115,93.62.79.69,Windows
DEV5116,73.57.215.163,iOS
DEV5117,41.225.13.227,MacOS
DEV5118,80.246.34.28,iOS
DEV5119,57.112.93.229,iOS
DEV5120,149.7.55.243,Windows
DEV5121,169.97.72.75,Android
DEV5122,201.243.168.129,iOS
DEV5123,209.38.21.222,iOS
DEV5124,143.6.121.199,iOS
DEV5125,146.100.106.230,Android
DEV5126,198.151.35.25,Android
DEV5127,19.38.114.49,iOS
DEV5128,179.55.90.245,Android
DEV5129,25.149.57.224,Android
DEV5130,209.120.194.12,Android
DEV5131,35.151.117.24,MacOS
DEV5132,55.253.101.122,iOS
DEV5133,23.208.119.35,Android
DEV5134,10.225.131.85,MacOS
DEV5135,105.67.116.80,Windows
DEV5136,152.123.155.22,Windows
DEV5137,143.105.193.93,Android
DEV5138,20.148.107.158,iOS
DEV5139,116.16.74.139,Android
DEV5140,16.76.251.214,Windows
DEV5141,222.227.90.202,iOS
DEV5142,213.14.34.230,iOS
DEV5143,86.29.191.66,Windows
DEV5144,197.50.85.125,MacOS
DEV5145,155.39.224.174,MacOS
DEV5146,157.60.204.64,Android
DEV5147,170.203.255.138,iOS
DEV5148,198.55.221.156,Android
DEV5149,88.104.69.202,iOS
DEV5150,146.239.146.191,Windows
DEV5151,199.151.40.124,iOS
DEV5152,89.84.225.159,iOS
DEV5153,124.50.56.167,Windows
DEV5154,223.229.48.158,MacOS
DEV5155,174.74.32.40,Windows
DEV5156,183.93.33.63,iOS
DEV5157,150.140.109.51,Windows
DEV5158,115.10.199.215,iOS
DEV5159,136.192.253.177,MacOS
DEV5160,130.133.230.71,MacOS
DEV5161,60.54.114.126,iOS
DEV5162,87.89.226.236,MacOS
DEV5163,178.226.95.98,Windows
DEV5164,218.116.123.171,MacOS
DEV5165,181.158.215.238,Android
DEV5166,103.118.163.91,MacOS
DEV5167,12.92.69.163,Android
DEV5168,174.14.70.84,Windows
DEV5169,223.107.76.35,MacOS
DEV5170,195.46.57.143,MacOS
DEV5171,186.214.193.95,MacOS
DEV5172,167.126.73.12,Windows
DEV5173,203.41.2.41,Windows
DEV5174,183.56.60.76,Android
DEV5175,220.183.152.78,iOS
DEV5176,195.118.141.188,Windows
DEV5177,89.64.181.168,MacOS
DEV5178,71.232.224.186,Android
DEV5179,24.99.160.83,MacOS
DEV5180,151.198.57.96,MacOS
DEV5181,78.246.240.39,Windows
DEV5182,26.127.7.5,iOS
DEV5183,215.21.112.169,MacOS
DEV5184,157.182.143.40,Windows
DEV5185,217.171.138.184,Android
DEV5186,135.119.158.90,MacOS
DEV5187,66.97.174.250,Android
DEV5188,63.135.41.104,Windows
DEV5189,79.6.246.179,Windows
DEV5190,212.87.92.33,Windows
DEV5191,55.190.167.22,Windows
DEV5192,154.210.249.4,Windows
DEV5193,137.227.180.3,iOS
DEV5194,211.43.47.107,Android
DEV5195,175.67.210.66,iOS
DEV5196,206.60.232.102,Android
DEV5197,87.182.195.79,MacOS
DEV5198,119.29.121.102,MacOS
DEV5199,201.115.99.248,Android
DEV5200,87.130.106.123,MacOS
DEV5201,6.222.144.100,MacOS
DEV5202,81.168.10.166,MacOS
DEV5203,96.250.46.223,iOS
DEV5204,201.209.161.110,iOS
DEV5205,77.147.36.70,Windows
DEV5206,129.93.235.170,Android
DEV5207,85.88.54.200,MacOS
DEV5208,114.3.200.194,Android
DEV5209,163.72.133.164,Windows
DEV5210,77.66.16.252,Windows
DEV5211,142.233.115.75,MacOS
DEV5212,41.113.135.17,Windows
DEV5213,160.11.157.74,MacOS
DEV5214,124.148.41.21,Windows
DEV5215,197.0.171.126,Windows
DEV5216,161.194.66.32,MacOS
DEV5217,129.166.97.204,Windows
DEV5218,86.237.113.3,Windows
DEV5219,163.206.145.94,Windows
DEV5220,129.2.142.171,Android
DEV5221,104.214.160.91,iOS
DEV5222,90.241.4.143,Android
DEV5223,9.4.85.110,Windows
DEV5224,27.149.210.194,iOS
DEV5225,9.190.175.106,Android
DEV5226,23.22.239.128,Android
DEV5227,204.88.207.196,Android
DEV5228,185.166.244.167,MacOS
DEV5229,16.255.47.160,Windows
DEV5230,94.167.163.187,Windows
DEV5231,168.218.64.137,iOS
DEV5232,159.96.144.153,Android
DEV5233,190.49.169.160,Windows
DEV5234,69.43.171.215,Android
DEV5235,41.126.77.47,Windows
DEV5236,81.153.220.179,Android
DEV5237,148.207.214.156,Windows
DEV5238,50.223.154.207,iOS
DEV5239,29.196.49.97,Android
DEV5240,71.82.143.96,Windows
DEV5241,169.55.11.192,iOS
DEV5242,23.79.209.194,iOS
DEV5243,61.6.32.66,Windows
DEV5244,38.21.226.235,Android
DEV5245,52.0.98.222,MacOS
DEV5246,151.244.140.66,iOS
DEV5247,201.229.166.123,iOS
DEV5248,69.118.156.23,Windows
DEV5249,70.46.28.145,MacOS
DEV_FRAUD_999,192.168.1.100,Windows
