user_id,device_id
U1139,DEV5056
U1139,DEV5162
U1140,DEV5158
U1141,DEV5173
U1141,DEV5193
U1142,DEV5160
U1143,DEV5231
U1144,DEV5079
U1145,DEV5008
U1145,DEV5148
U1146,DEV5187
U1146,DEV5033
U1147,DEV5232
U1148,DEV5083
U1148,DEV5191
U1149,DEV5044
U1149,DEV5051
U1150,DEV5201
U1151,DEV5135
U1151,DEV5128
U1152,DEV5212
U1152,DEV5042
U1153,DEV5233
U1153,DEV5211
U1154,DEV5247
U1154,DEV5206
U1155,DEV5191
U1155,DEV5222
U1156,DEV5205
U1156,DEV5029
U1157,DEV5246
U1157,DEV5019
U1158,DEV5193
U1159,DEV5220
U1160,DEV5247
U1160,DEV5216
U1161,DEV5023
U1161,DEV5202
U1162,DEV5003
U1162,DEV5067
U1163,DEV5116
U1164,DEV5172
U1164,DEV5191
U1165,DEV5149
U1165,DEV5097
U1166,DEV5027
U1166,DEV5172
U1167,DEV5120
U1168,DEV5158
U1169,DEV5234
U1169,DEV5156
U1170,DEV5165
U1171,DEV5162
U1172,DEV5232
U1172,DEV5179
U1173,DEV5166
U1173,DEV5104
U1174,DEV5035
U1175,DEV5242
U1176,DEV5077
U1177,DEV5029
U1177,DEV5024
U1178,DEV5227
U1179,DEV5099
U1180,DEV5094
U1180,DEV5171
U1181,DEV5150
U1181,DEV5190
U1182,DEV5226
U1183,DEV5167
U1183,DEV5025
U1184,DEV5157
U1184,DEV5104
U1185,DEV5008
U1185,DEV5176
U1186,DEV5055
U1186,DEV5113
U1187,DEV5243
U1187,DEV5060
U1188,DEV5025
U1188,DEV5175
U1189,DEV5139
U1189,DEV5230
U1190,DEV5015
U1190,DEV5101
U1191,DEV5048
U1191,DEV5247
U1192,DEV5242
U1193,DEV5023
U1193,DEV5169
U1194,DEV5164
U1195,DEV5012
U1196,DEV5062
U1196,DEV5032
U1197,DEV5017
U1198,DEV5150
U1199,DEV5208
U1195,DEV_FRAUD_999
U1196,DEV_FRAUD_999
U1197,DEV_FRAUD_999
U1198,DEV_FRAUD_999
U1199,DEV_FRAUD_999
